user_id,n_puzzles,game_type,first_date,last_date,start_rating,end_rating,delta_rating,rating_level,delta_percentile,quartile_min,quartile_max
rolandobrazil,1.0,blitz,2023-01-01,2025-08-15,1891,1817,-74,advanced,25-50,-78.0,-17.0
Obese_reece,2271.0,blitz,2023-01-01,2025-08-15,2002,2288,286,advanced,75-100,41.0,689.0
purplechess64,995.0,blitz,2023-05-28,2025-08-15,1849,1680,-169,advanced,0-25,-1142.0,-78.0
Anonymousyb,887.0,blitz,2023-01-01,2025-08-15,2054,2122,68,advanced,75-100,41.0,689.0
OlgaArk,2443.0,blitz,2023-01-01,2025-08-15,1910,1898,-12,advanced,50-75,-17.0,41.0
TumbweArtorius,608.0,blitz,2023-01-01,2025-07-31,2039,2004,-35,advanced,25-50,-78.0,-17.0
nelsonguzman,150.0,blitz,2023-01-02,2025-08-15,1970,1916,-54,advanced,25-50,-78.0,-17.0
Tarekyosefadam,1779.0,blitz,2023-04-17,2025-08-15,1980,1907,-73,advanced,25-50,-78.0,-17.0
dafuzze,323.0,blitz,2023-08-14,2025-01-25,2092,1938,-154,advanced,0-25,-1142.0,-78.0
Graminho,5366.0,blitz,2023-01-01,2025-08-14,2100,2150,50,advanced,75-100,41.0,689.0
MustaMw,162.0,blitz,2023-01-01,2025-08-09,1950,1845,-105,advanced,0-25,-1142.0,-78.0
rizalakamal,1660.0,blitz,2023-02-08,2025-07-15,2077,2027,-50,advanced,25-50,-78.0,-17.0
talitoesterio,327.0,blitz,2023-01-01,2025-08-15,2178,2112,-66,advanced,25-50,-78.0,-17.0
sureshtanneru,2910.0,blitz,2023-05-07,2025-08-15,1985,1941,-44,advanced,25-50,-78.0,-17.0
Velvener,40.0,blitz,2023-01-01,2025-08-15,1902,1775,-127,advanced,0-25,-1142.0,-78.0
reineriavila,2579.0,blitz,2023-01-02,2025-08-15,1940,1875,-65,advanced,25-50,-78.0,-17.0
King_Keewe,466.0,blitz,2023-01-06,2025-08-01,1828,1587,-241,advanced,0-25,-1142.0,-78.0
FeeltheaxeofAxe,146.0,blitz,2023-11-17,2025-08-14,1949,2034,85,advanced,75-100,41.0,689.0
mINDTEASer,1053.0,blitz,2023-01-01,2025-06-04,2143,2125,-18,advanced,25-50,-78.0,-17.0
MoAboulmagd,15808.0,blitz,2023-01-01,2025-07-13,1889,2015,126,advanced,75-100,41.0,689.0
AdrianoTibola,3847.0,blitz,2023-01-18,2025-07-28,2100,2019,-81,advanced,0-25,-1142.0,-78.0
KultigerZocker,338.0,blitz,2023-01-01,2023-12-29,1936,2001,65,advanced,75-100,41.0,689.0
NoviceChess-Youtube,6417.0,blitz,2023-01-16,2025-04-11,2069,2036,-33,advanced,25-50,-78.0,-17.0
tj1972,277.0,blitz,2023-03-07,2025-08-16,1935,1908,-27,advanced,25-50,-78.0,-17.0
hams1509,6169.0,blitz,2023-01-01,2025-08-14,1824,1838,14,advanced,50-75,-17.0,41.0
Mohameddidal,6968.0,blitz,2023-01-08,2025-08-15,1912,1911,-1,advanced,50-75,-17.0,41.0
John_Nash_Schooll,793.0,blitz,2023-07-14,2025-07-15,2105,1952,-153,advanced,0-25,-1142.0,-78.0
Minavand,2578.0,blitz,2023-01-18,2025-08-14,1945,1943,-2,advanced,50-75,-17.0,41.0
Braaxdesfaax,312.0,blitz,2023-01-19,2025-03-19,1891,1893,2,advanced,50-75,-17.0,41.0
hatsubuu,2296.0,blitz,2023-07-31,2025-06-15,2162,2208,46,advanced,75-100,41.0,689.0
Miquel73,2403.0,blitz,2023-01-13,2024-07-21,1951,1837,-114,advanced,0-25,-1142.0,-78.0
Pablosky809,374.0,blitz,2023-01-11,2025-08-15,1844,2052,208,advanced,75-100,41.0,689.0
MumaCodrilo,759.0,blitz,2023-01-02,2025-08-15,1859,1893,34,advanced,50-75,-17.0,41.0
clavador72,90.0,blitz,2023-01-01,2025-08-15,1935,1944,9,advanced,50-75,-17.0,41.0
Aprendiz_arg,1639.0,blitz,2023-01-02,2025-07-21,1862,2203,341,advanced,75-100,41.0,689.0
BigSabee,1944.0,blitz,2023-01-06,2025-07-18,1835,2251,416,advanced,75-100,41.0,689.0
NicolaNigro,615.0,blitz,2023-02-02,2025-07-14,1994,2382,388,advanced,75-100,41.0,689.0
Palaco,874.0,blitz,2023-01-01,2025-08-15,2092,2078,-14,advanced,50-75,-17.0,41.0
chuchoon,3108.0,blitz,2023-01-01,2025-07-06,1941,2005,64,advanced,75-100,41.0,689.0
ErikYensun,332.0,blitz,2023-02-11,2025-06-04,1934,1944,10,advanced,50-75,-17.0,41.0
Lansh,51.0,blitz,2023-02-14,2024-06-11,2057,2075,18,advanced,50-75,-17.0,41.0
moraj965,4620.0,blitz,2023-01-01,2025-08-15,2167,2225,58,advanced,75-100,41.0,689.0
lictin,244.0,blitz,2023-01-03,2025-07-25,2129,1923,-206,advanced,0-25,-1142.0,-78.0
Caitonto,288.0,blitz,2023-01-01,2025-06-26,2132,2025,-107,advanced,0-25,-1142.0,-78.0
nrxszvo,1076.0,blitz,2023-01-01,2025-07-30,1975,1952,-23,advanced,25-50,-78.0,-17.0
ironman860323,112.0,blitz,2023-03-01,2025-03-04,2097,1965,-132,advanced,0-25,-1142.0,-78.0
aIex_k,1023.0,blitz,2023-03-04,2025-08-07,2151,2214,63,advanced,75-100,41.0,689.0
AlexeyLucky,1261.0,blitz,2023-01-13,2025-08-15,1954,1937,-17,advanced,25-50,-78.0,-17.0
abdalkader,17043.0,blitz,2023-01-01,2025-08-15,2144,2099,-45,advanced,25-50,-78.0,-17.0
olegpel1970,24175.0,blitz,2023-01-01,2025-08-12,2127,2150,23,advanced,50-75,-17.0,41.0
toniwildgrube99,579.0,blitz,2023-01-01,2025-08-15,2077,1987,-90,advanced,0-25,-1142.0,-78.0
Jaime_bravo,1714.0,blitz,2023-01-01,2025-08-15,2046,1998,-48,advanced,25-50,-78.0,-17.0
GeorgeWBush,4336.0,blitz,2023-01-02,2025-08-08,2062,2171,109,advanced,75-100,41.0,689.0
ZanochkaIvan_2006,708.0,blitz,2023-03-24,2025-06-23,2189,2042,-147,advanced,0-25,-1142.0,-78.0
evaldo1,3185.0,blitz,2023-01-02,2025-08-15,1918,1524,-394,advanced,0-25,-1142.0,-78.0
benderdome,1109.0,blitz,2023-01-01,2025-08-15,2011,2042,31,advanced,50-75,-17.0,41.0
ramanapnv,3709.0,blitz,2023-01-01,2025-08-16,2043,1892,-151,advanced,0-25,-1142.0,-78.0
PanchitoTrevino,5264.0,blitz,2023-01-10,2025-08-15,1977,1928,-49,advanced,25-50,-78.0,-17.0
AGUS_SUWARDI,152.0,blitz,2023-10-03,2025-08-16,1887,1628,-259,advanced,0-25,-1142.0,-78.0
jesuscal,13.0,blitz,2023-01-01,2025-08-15,1804,1728,-76,advanced,25-50,-78.0,-17.0
campeaodocais,5.0,blitz,2023-01-01,2025-08-16,1847,1929,82,advanced,75-100,41.0,689.0
d4-vid2,2155.0,blitz,2023-01-07,2025-06-28,2118,2137,19,advanced,50-75,-17.0,41.0
gavity,2358.0,blitz,2023-01-01,2025-06-29,2088,2256,168,advanced,75-100,41.0,689.0
stepan303,916.0,blitz,2023-02-15,2025-07-09,1977,1510,-467,advanced,0-25,-1142.0,-78.0
Edilson_7,13.0,blitz,2023-12-13,2023-12-24,1875,1817,-58,advanced,25-50,-78.0,-17.0
ChileanWizard,80.0,blitz,2023-02-20,2024-07-17,1878,1879,1,advanced,50-75,-17.0,41.0
Maiconpr,313.0,blitz,2023-01-01,2025-07-26,2018,1986,-32,advanced,25-50,-78.0,-17.0
CCapivara,1064.0,blitz,2023-01-01,2025-08-14,2119,2124,5,advanced,50-75,-17.0,41.0
Capablanca13,404.0,blitz,2023-01-02,2025-08-15,2038,1976,-62,advanced,25-50,-78.0,-17.0
MiroBarbosa,539.0,blitz,2023-01-02,2025-08-16,2000,1927,-73,advanced,25-50,-78.0,-17.0
Eusekevin,470.0,blitz,2023-02-23,2025-08-13,1885,1851,-34,advanced,25-50,-78.0,-17.0
ATLAS21,118.0,blitz,2023-01-01,2025-08-15,1897,1814,-83,advanced,0-25,-1142.0,-78.0
elsonfarias1001,30.0,blitz,2023-01-03,2025-08-14,1949,1922,-27,advanced,25-50,-78.0,-17.0
drattitude,3526.0,blitz,2023-02-12,2025-08-15,2170,1939,-231,advanced,0-25,-1142.0,-78.0
ForkTh3King,2719.0,blitz,2023-06-21,2025-07-26,2126,2153,27,advanced,50-75,-17.0,41.0
harshilsrome,4072.0,blitz,2023-01-05,2025-08-12,1812,1647,-165,advanced,0-25,-1142.0,-78.0
Creny,1013.0,blitz,2023-01-04,2025-07-24,1863,2005,142,advanced,75-100,41.0,689.0
